title,author,dateread,cover,cover_path
Golden Son,Pierce Brown,23/12/08,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1394684475i/18966819.jpg,40.jpg
Morning Star,Pierce Brown,23/12/16,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1461354277i/18966806.jpg,41.jpg
Fight Club,Chuck Palahniuk,24/01/25,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1558216416i/36236124.jpg,42.jpg
Cloud Atlas,David Mitchell,24/02/25,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1563042852i/49628.jpg,43.jpg
The Name Of The Wind,Patrick Rothfuss,24/03/21,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1704917687i/186074.jpg,44.jpg
The Wise Man's Fear,Patrick Rothfuss,24/04/02,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1452624392i/1215032.jpg,45.jpg
The Way Of Kings,Brandon Sanderson,24/04/16,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1659905828l/7235533._SY475_.jpg,46.jpg
Words Of Radiance,Brandon Sanderson,24/04/28,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1659905768i/17332218.jpg,47.png
Oathbringer,Brandon Sanderson,24/06/21,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1654573897i/34002132.jpg,48.png
Rhythm of War,Brandon Sanderson,24/07/20,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1599911216i/49021976.jpg,49.png
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,24/07/22,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1636978687i/58784475.jpg,50.png
Animal Farm,George Orwell,24/07/23,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1325861570i/170448.jpg,51.png
Dome: Rebellion,Johnathon Nicolaou,24/08/06,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1670738486i/65151985.jpg,52.png
The Chain Between Worlds,Johnathan Nicolaou,24/09/01,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1643771474i/60288648.jpg,53.png
The Dark Forest,Cixin Liu,24/09/10,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1670967318i/66562105.jpg,54.png
Death's End,Cixin Liu,24/10/16,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1430330507i/25451264.jpg,55.png
Seven Pillars Of Wisdom,Thomas Edward Lawrence,25/02/08,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1393786656i/57936.jpg,56.png
Follow The Money: How much does Britain cost?,Paul Johnson,25/02/26,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1673265673i/75593706.jpg,57.png
Dark Wire,Joseph Cox,25/03/23,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1716542877i/59644256.jpg,58.png
Leviathan Wakes,James S. A. Corey,25/03/26,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1411013134i/8855321.jpg,59.png
Children of Time,Adrian Tchaikovsky,25/04/04,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1431014197i/25499718.jpg,
Flowers for Algernon,25/04/11,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1689071681i/18373.jpg,
The Caves of Steel,Isaac Asimov,25/05/08,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1335782224i/41811.jpg,
